"names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"dir"
"PKMYT1"	4.20410625833384	3.64698653375509	23.2730312668561	1.13495007544847e-83	4.78038742004436e-81	180.053920404104	"up"
"MELK"	4.23338292652845	3.10578371340912	20.0435881781203	2.4376146992595e-67	2.43403498536548e-65	142.613614303471	"up"
"BARD1"	1.56257225035116	3.94804261825093	19.9093512650642	1.14948124955314e-66	1.07983176068219e-64	140.997995694055	"up"
"TRIM11"	1.2891331712961	5.17155369259743	19.0647612883436	1.90995416377408e-62	1.31116516848702e-60	131.250255189462	"up"
"PARP1"	1.19369063465573	8.0356793870212	15.5504060210894	2.1973924546397e-45	5.52404346123246e-44	92.0799055788532	"up"
"E2F1"	2.25352207678465	4.27019449145697	15.0508210292398	4.70660786072406e-43	1.04033519571639e-41	86.8049954980761	"up"
"BBC3"	1.42675198200336	3.34491510576636	14.7720477465844	9.12018957940518e-42	1.84981799722055e-40	83.9704331374118	"up"
"PCNA"	1.30000000641365	6.58114192259962	14.2255278069657	2.8433679817618e-39	4.92723924897777e-38	78.0272254944584	"up"
"CHEK1"	1.60556759467405	3.65934755688514	12.510288742022	9.69071682615071e-32	1.09127559590383e-30	61.0015984890779	"up"
"PMAIP1"	2.06852353739248	3.37677315456299	11.4432810776836	2.55466400925669e-27	2.21751047952439e-26	50.9642379764881	"up"
"LEF1"	1.99687031462246	3.89770459201292	11.3609636938825	5.48067701454039e-27	4.66102365042419e-26	50.1551526874801	"up"
"ATAD5"	1.19641995466104	2.97249401781322	10.7812206449555	1.07609539752859e-24	7.92039493882e-24	44.9909270663738	"up"
"BIK"	1.77535267062976	3.0150077164506	10.5229706289855	1.06888535712044e-23	7.42706278069232e-23	42.7169639474896	"up"
"CDKN2A"	2.04008737385857	2.58007908501021	10.2809328796967	8.89648501927281e-23	5.87028232856731e-22	40.609057179484	"up"
"BRCA1"	1.31062682946439	4.06470342457974	9.87729938739944	2.83362458478266e-21	1.69507019045293e-20	37.0093131466845	"up"
"PYCARD"	1.32834266347031	5.0253812376197	7.7800192887123	3.66531797876336e-14	1.3320711483523e-13	20.8275329941026	"up"
"SLC9A3R1"	1.0863375638199	8.43866476689785	7.08709451223029	4.26548398385832e-12	1.33802385337243e-11	16.026341784697	"up"
"SERPINB7"	2.21307260596388	-2.73213113212974	6.09113590924778	2.12127200802378e-09	5.40596876719108e-09	11.0706424479673	"up"
"ECM1"	1.22526943863492	5.83621557104511	5.24823623633959	2.20449191089152e-07	4.81608629063953e-07	5.41319139374386	"up"
"BCL2A1"	1.31446008549433	1.11949255825553	4.92668107908034	1.11147318984535e-06	2.28750730438192e-06	4.85124013242164	"up"
"BNIPL"	1.10504599393108	4.22946424175695	4.06779328527728	5.44818957485272e-05	9.62091255742294e-05	0.474703121462119	"up"
"STARD9"	-2.21981127562635	3.17630990007239	-21.134021299962	7.83703369020092e-73	1.16567712564978e-70	155.202881423697	"down"
"EPAS1"	-1.92236988043692	7.45924580249613	-17.9819634131822	4.34259528707644e-57	2.0067287412351e-55	118.918677709725	"down"
"NMT2"	-1.5775782123998	3.99566468552314	-15.7502519184077	2.52022348993656e-46	6.77707555796689e-45	94.3401289132508	"down"
"NR4A1"	-2.63130636500111	5.67299102972469	-15.6092163814074	1.16308648019398e-45	2.96566283048034e-44	92.6884691891703	"down"
"NLRP1"	-1.35518479376608	3.9251070519169	-15.100212929124	2.77721588303198e-43	6.24501820375018e-42	87.4012369621828	"down"
"BCL2L2"	-1.01170654481821	5.81436253612507	-14.7311522830175	1.40606963304275e-41	2.81588615571073e-40	83.3380941836269	"down"
"CFLAR"	-1.00502342088846	6.65660967959661	-14.0627813854411	1.54312035272777e-38	2.59837447129714e-37	76.337226047965	"down"
"MEOX2"	-3.1636942790567	1.86175677412478	-13.735323758033	4.51394546508167e-37	7.08292607647266e-36	73.4135010423542	"down"
"PRKCA"	-1.44483435872993	3.04724228649372	-12.8418149895003	3.70455970394215e-33	4.56405591135375e-32	64.2785488587173	"down"
"ZNF219"	-1.16785317783237	4.65141738870848	-12.7615338916174	8.2002039341407e-33	9.92294169284704e-32	63.2631335877486	"down"
"IRS2"	-1.88987314359133	5.12274314326635	-12.6746403862471	1.93217970470692e-32	2.30105037560552e-31	62.388234585226	"down"
"MYCBP2"	-1.02568318832877	6.61771226847062	-12.6359466800207	2.82724400856917e-32	3.31991917749665e-31	61.9884214766916	"down"
"PPARA"	-1.37498427511034	4.10674361461854	-11.8101331628307	8.18137494151708e-29	7.76741042486186e-28	54.2432491845004	"down"
"CEBPA"	-1.80046932635019	4.60883977404183	-11.5841423818799	6.86700399850671e-28	6.14373120893968e-27	52.0790155382018	"down"
"RRAS"	-1.10299549541536	5.59885714364303	-11.0677612827854	8.08674842350431e-26	6.38665269575321e-25	47.2786844074045	"down"
"YAP1"	-1.01444012856109	6.73040502689699	-10.9701949186412	1.96147168016001e-25	1.50256728116979e-24	46.3362243348824	"down"
"MYC"	-1.60305229344065	6.54008618465884	-10.7483815775614	1.44375125868987e-24	1.05395318112642e-23	44.3561675705151	"down"
"BOK"	-1.25439212004907	5.81307048164745	-10.7353808544026	1.62164784401444e-24	1.17959804201132e-23	44.2822405419206	"down"
